Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
"Gallagher, Dennis",1993,Colorado,Webster Cash,HIENRGASTR,,,,,
"Good, R. EA.",1974,Colorado,"Barth, Charles A.",Aeronomy,,,,,
"Gunderson, Kurt",2000,Colorado,"Green, James C.",GALACASTRN,,,,,
"Hassler, Donald M.",1990,Colorado,"Sharp, William E.",Solar Research,,,,,
"Hill, Steve",1999,Colorado,,,,,,,
"Hord, C. W.",1964,Colorado,Wilshusen,Solar Research,,,,,
"Indebetuow, Remy",2001,Colorado,,,,,,,
"Jones, Robert A.",1969,Colorado,"Rense, W. A.",Solar Research,,,,,
"Joseph, Charles",1985,Colorado,"Sharp, William E.",Galactic,,,,,
"Knappmiller, Scott",2010,Colorado,"Robertson, Scott",Mesospheric Aerosol Sampling Spectrometer,41.069,41.07,,,
"Kurtz, Dalton",1960,Colorado,Wilshusen,Solar Research,,,,,
"McAllister, Howard",1959,Colorado,Wilshusen,Solar Research,,,,,
"McCandliss, Steven",1988,Colorado,Webster Cash,GALASASTRN,,,,,
"McCoy, Robert P.",1981,Colorado,"Barth, Charles A.",LASP,,,,,
"McEntaffer, Randy",2007,Colorado,"Cash, Web",,36.224,,,,
"McLean, Ryan",2000,Colorado,"Green, James C.",GALACASTRN,,,,,
"Meira, L. GL. Jr.",1970,Colorado,"Barth, Charles A.",Aeronomy,14.389,14.39,,,
"Moore, Thomas E.",1978,Colorado,"T W Speiser, D S Evans",,29.003,,,,
"Norton, Richard B.",1967,Colorado,"Barth, Charles A.",Aeronomy,,,,,
"Oakley, Phil",2011,Colorado,"Cash, Webster",,36.252,,,,
"Pearce, Jeffrey B.",1968,Colorado,"Barth, Charles A.",Aeronomy/Solar Research,14.347,14.348,14.349,,
"Rusch, David W.",1972,Colorado,"Barth, Charles A.",Astro-GEOP,,,,,
"Sarlin, Scott",1998,Colorado,"Green, James C.",GALACASTRN,,,,,
"Schindhelm, Eric",2011,Colorado,"Green, James",interstellar medium,36.244,36.27,,,
"Sharp, William E. III",1970,Colorado,"Barth, Charles A.",Aeronomy,18.081,18.082,,,
"Simmons, William R.",1965,Colorado,Rense,Solar Research,,,,,
"Siskind, David E.",1988,Colorado,"Barth, Charles A.",LASPAERONO,,,,,
"Stacey, David",1954,Colorado,Wilshusen,Solar Research,,,,,
"Violett, Theodore",1959,Colorado,Wilshusen,Solar Research,,,,,
"Wilkinson, Erik",1993,Colorado,"Green, James C.","Fuse/Astroph., Planet. & Atmos Science",,,,,
"Williamson, Erik",1993,Colorado,"Sharp, William E.",Galacastrn,,,,,
"Windt, David",1986,Colorado,Webster Cash,Hienrgastr,,,,,
"Worden, John R.",1996,Colorado,,LASP/UV Irradiance,,,,,
"Zeiger, Ben",2012,Colorado,Webster Cash,X-ray Astr,36.274,,,,
"Bahcivan, Hasan",2005,Cornell,"Hysell, Dave",,,,,,
"Berg, Glenn",1993,Cornell,"Kelley, Michael",,,,,,
"Bonnell, John",1996,Cornell,"Kintner, P.",Ion Acceleration and Wave Dynamics,40.006,40.007,,,
"Cho, John",1993,Cornell,"Kelley, Michael",,,,,,
"Costa, Emanuel",1978,Cornell,"Kelley, Michael",,,,,,
"Earle, Gregory",1988,Cornell,"Kelley, Michael",,,,,,
"Gonzales, Cesar",1979,Cornell,"Kelley, Michael",,,,,,
"Hall, Timothy",1991,Cornell,"Kelley, Michael",,,,,,
"Klatt, Eric Michael",2005,Cornell,"Kintner, Paul",SIERRA and SERSIO,35.035,,,,
"Knudsen, David",1990,Cornell,"Kelley, Michael",,,,,,
"LaBelle, James",1985,Cornell,"Kintner, Paul M.",A&EP/Space Plasma Physics,,,,,
"Larsen, Miguel",1979,Cornell,"Kelley, Michael",,,,,,
"Pereira, Eduardo",1979,Cornell,"Kelley, Michael",,,,,,
"Providakes, James",1990,Cornell,"Kelley, Michael",,,,,,
"Rodrigues, Fabiano",2008,Cornell,"Hysell, Dave",,,,,,
"Scales, W.",1988,Cornell,"Kintner, Paul M.",EE/Space Plasma Physics,,,,,
"Siefring, Carl",1987,Cornell,"Kelley, Michael",,,,,,
"Swenson, Charles",1992,Cornell,"Kelley, Michael",,,,,,
