ID,Science,PI,Institution,Name,LaunchSite,Date,Year,Apogee,Vehicle,Impact
41.097,UE,Larsen,Clemson University,ATREX,WFF,3/27/2012,2012,,TERRIER MK 70/IMPROVED ORION,75.9
41.101,UO,Koehler,Colorado Space Grant Consortium,RockOn,WFF,6/21/2012,2012,117.2,TERRIER MK 12/IMPROVED ORION,54.5
36.286,US,Woods,University of Colorado,EVE3,WSMR,6/23/2012,2012,285,Terrier Black Brant Mk1,75.8
36.284,NS,Cirtain,NASA/Marshall Space Flight Center,SUMI,WSMR,7/5/2012,2012,276.8,Terrier Black Brant Mod 2,73.1
36.272,NS,Cirtain,NASA/Marshall Space Flight Center,Hi-C,WSMR,7/11/2012,2012,276.6,Terrier Black Brant Mod 2,68.8
36.263,US,Judge,University of Southern California,,WSMR,7/24/2012,2012,323.8,BLACK BRANT IX MOD 2,77.4
46.004,GO,Rosanova,NASA/Wallops Flight Facility,RockSatX,WFF,9/21/2012,2012,153.9,Terrier MK 12 Improved MALEMUTE,140.4
12.075,GT,Brodell,NASA/Wallops Flight Facility,,WFF,9/22/2012,2012,270.2,Talos-Terrier-Oriole,531.2
36.255,US,Krucker,University of California Berkeley,FOXSI,WSMR,11/2/2012,2012,339,BLACK BRANT IX MOD 2,78.6
36.26,UG,Cook,Boston University,M101 IMAGER,WSMR,11/21/2012,2012,291.3,BLACK BRANT IX MOD 2,73.1
36.283,UH,Galeazzi,University of Miami,DXL,WSMR,12/13/2012,2012,255.7,BLACK BRANT IX MOD 2,77.2
41.107,GT,West,NASA/Wallops Flight Facility,,WFF,1/29/2013,2013,144,TERRIER MK 70/IMPROVED ORION W/CLAMP RELEASE,143
49.001,GE,Rowland,NASA/Goddard Space Flight Center,VISIONS,PFRR,2/6/2013,2013,753.8,Talos-Terrier-Oriole-Nihka,1074
41.104,GT,Rosanova,NASA/Wallops Flight Facility,,WSMR,2/15/2013,2013,103.1,TERRIER MK 12/IMPROVED ORION W/CLAMP RELEASE,64.8
36.271,UG,Beasley/France,University of Colorado,SLICE,WSMR,4/21/2013,2013,308.7,Terrier Black Brant Mod 2,89.4
36.269,GS,Rabin,NASA/Goddard Space Flight Center,EUNIS,WSMR,4/23/2013,2013,318.2,Terrier Black Brant Mod 2,77.4
