Recipient,Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
137,"Menengini, Robert",1974,Michigan,Carignan,EE,,,,,
136,"McKinney, Wayne R.",1974,Johns Hopkins,"Moos, Warren",,13.047,,,,
135,"Mandelbaum, David",1974,Johns Hopkins,"Feldman, Paul D.",,,,,,
134,"Lin, Chung-An",1974,Rice,"Anderson, Andrew B.",,18.112,,,,
133,"Kintner, Paul",1974,Minnesota,"Cahill, Laurence J. Jr.",,,,,,
132,"Kamash, Salma",1974,Michigan,Carignan,ED,,,,,
131,"Hutchinson, James L.",1974,Wisconsin,Code,Ultraviolet Astronomy,,,,,
130,"Guenther, Bruce",1974,Pittsburgh,"Zipf, Edward C.",Atomic Oxygen,,,,,
129,"Good, R. EA.",1974,Colorado,"Barth, Charles A.",Aeronomy,,,,,
128,"Golshan, Nasser",1974,Illinois,"Bowhill, Sidney A.",,,,,,
127,"Giles, John W. Jr.",1974,Johns Hopkins,"Moos, Warren",,13.047,,,,
126,"Gastman, Irvin",1974,Michigan,Carignan,Aeronomy,,,,,
125,"Doxsey, Rodger",1974,MIT,"Rappaport, Saul",X-ray Astr,,,,,
124,"Carlson, Charles W.",1974,"California, Berkeley","Anderson, Kinsey",,8.056,18.035,18.036,18.037,
123,"Barrett, J.",1974,Michigan,"Sharp, William E.","Photometrics, Inc.",,,,,
122,"Shailendra, Kumar",1973,"California, Berkeley","Bowyer, C. S.",Galactic X-ray Astronomy,,,,,
121,"Schutz, Stephen",1973,"California, Berkeley","Carlson, Charles W.",,8.056,,,,
120,"Paresce, Francesco",1973,"California, Berkeley","Bowyer, C. S.",Study of ISM Inflotrav-Solar Sy,,,,,
119,"Neekins, John",1973,Catholic,Werntz,Solar X-rays,,,,,
118,"Margon, Bruce",1973,"California, Berkeley","Bowyer, C. S.",Galactic X-ray Astr.,,,,,
117,"Macy, William W.",1973,Princeton,"Jenkins, Edward B.",,4.267,,,,
116,"Lowenstein, Robert S.",1973,Rice,"Anderson, Andrew B.",,18.112,,,,
115,"Kumar, Shailendra",1973,"California, Berkeley","Bowyer, C. S.",Study of Helium Geocorona,,,,,
114,"Klumpar, David",1973,New Hampshire,"Lockwood, J.",Cosmic Rays,,,,,
113,"Finn, Thomas G.",1973,Johns Hopkins,"Feldman, Paul D.",,,,,,
112,"Boyd, John S.",1973,Alaska,"Davis, John M.",Auroral Physics,,,,,
111,"Bering, Edgar",1973,"California, Berkeley","Carlson, Charles W.",,8.056,,,,
110,"Zaumen, William",1972,MIT,"Rappaport, Saul",X-ray Astr,,,,,
